Counting log file created 16.jul.2020 18:10:19 - for images in path: null
File is automatically updated on every event, and saved to nullCounting_log.txt
[16.jul.2020 18:10:19], [AuPbSn40.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:10:19], [AuPbSn40.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:10:44], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:10:44], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:10:54], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:10:54], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:10:55], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:10:55], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:11:00], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:11:00], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:11:04], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:11:04], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:30:30], [AuPbSn40.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:30:30], [AuPbSn40.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:34:25], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:34:25], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:34:29], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:34:29], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:34:40], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:34:40], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:34:41], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:34:41], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
[16.jul.2020 18:34:42], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Find 2D maxima: noise=50 detectColor=Any detectInsideColor=Disable blurRadius=0 excludeOnEdges=false lightBackground=false]
[16.jul.2020 18:34:42], [AuPbSn40-1.jpg], [ActiveChannel:1], [ActiveSlice:1], [Amount of maxima points found=79]
